Beer Name,Ratings,Style Name,Cellar Temperature,Serving Temperature,Score
82924,0,AmericanBrownAle,40-45,45-50,0
65986,1,AmericanIPA,40-45,45-50,3.62
22339,7,AmericanDoubleImperialIPA,45-50,50-55,4.17
75040,10,AmericanDoubleImperialIPA,45-50,50-55,4.31
150888,5,IrishDryStout,40-45,45-50,3.59
32415,1,AmericanStout,40-45,45-50,4.92
6856,17,AmericanIPA,40-45,45-50,4.24
124626,2,AmericanPorter,40-45,45-50,4.22
110367,0,AmericanPaleAle(APA),35-40,40-45,0
81287,1,IrishRedAle,35-40,40-45,3.75
39414,5,Witbier,40-45,45-50,3.61
110372,19,AmericanPaleAle(APA),35-40,40-45,3.97
19425,8,AmericanIPA,40-45,45-50,3.68
110488,1,AmericanPaleAle(APA),35-40,40-45,4.26
142223,0,AmericanBrownAle,40-45,45-50,0
151498,1,AmericanIPA,40-45,45-50,4.19
24946,8,AmericanWildAle,40-45,45-50,4.34
122215,4,IrishRedAle,35-40,40-45,4.18
146292,114,Weizenbock,40-45,45-50,3.27
90832,138,AmericanAmberRedAle,40-45,45-50,4.01
80868,29,EuroStrongLager,35-40,40-45,2.94
100092,8,AmericanIPA,40-45,45-50,3.98
11443,0,RyeBeer,40-45,45-50,0
41525,1,AmericanIPA,40-45,45-50,3.65
72484,101,AmericanIPA,40-45,45-50,4.05
41834,1,AmericanWildAle,40-45,45-50,4.06
45519,39,AmericanDoubleImperialIPA,45-50,50-55,4.14
87923,0,SaisonFarmhouseAle,45-50,45-50,0
161049,1,FruitVegetableBeer,35-40,40-45,3.48
8365,1,AmericanBlondeAle,35-40,40-45,3.31
54494,1,AmericanIPA,40-45,45-50,4
145104,2,AmericanPaleAle(APA),35-40,40-45,3.85
52734,1,AmericanBrownAle,40-45,45-50,3.5
59720,1,AmericanPorter,40-45,45-50,3.75
132689,2,AmericanPaleAle(APA),35-40,40-45,3.99
108094,1,AmericanStout,40-45,45-50,3.85
140203,2,GermanPilsener,35-40,40-45,3.55
98756,164,Quadrupel(Quad),45-50,50-55,3.98
137786,5,AmericanIPA,40-45,45-50,4.06
161758,1,Weizenbock,40-45,45-50,5
14996,474,AmericanDoubleImperialStout,45-50,50-55,4.59
138917,1,Witbier,40-45,45-50,3.44
142974,0,AmericanIPA,40-45,45-50,0
157207,17,Hefeweizen,40-45,45-50,3.48
11618,3,AmericanIPA,40-45,45-50,3.77
55579,0,LowAlcoholBeer,35-40,40-45,0
55081,3,AmericanStout,40-45,45-50,4.08
71275,2,AmericanPaleAle(APA),35-40,40-45,3.79
9302,1,AmericanIPA,40-45,45-50,4
27814,"1,734",AmericanAdjunctLager,35-40,35-40,2.02
85465,2,EuroDarkLager,,45-50,2.87
26296,6,AmericanIPA,40-45,45-50,3.79
49810,1,AmericanAmberRedAle,40-45,45-50,3.68
38013,1,FruitVegetableBeer,35-40,40-45,3.61
94765,4,Schwarzbier,40-45,45-50,3.73
120236,0,Witbier,40-45,45-50,0
112362,88,Weizenbock,40-45,45-50,3.35
22815,549,Lambic-Fruit,45-50,45-50,4.18
83883,25,AmericanAmberRedAle,40-45,45-50,3.67
86809,0,Hefeweizen,40-45,45-50,0
100390,2,GermanPilsener,35-40,40-45,4.25
19356,5,BalticPorter,45-50,50-55,3.93
39447,361,BelgianPaleAle,40-45,45-50,4.19
58161,2,AmericanWildAle,40-45,45-50,4.2
142536,11,Hefeweizen,40-45,45-50,3.38
7133,4,AmericanPaleAle(APA),35-40,40-45,3.88
106597,1,Klsch,35-40,40-45,3.88
146914,1,AmericanBrownAle,40-45,45-50,3.6
103405,12,AmericanPaleAle(APA),35-40,40-45,3.52
7397,2,AmericanPaleAle(APA),35-40,40-45,4.02
112016,17,SaisonFarmhouseAle,45-50,45-50,3.73
45989,7,AmericanDoubleImperialIPA,45-50,50-55,4.07
112836,459,ViennaLager,35-40,40-45,3.6
123036,121,BiredeGarde,45-50,45-50,3.61
49464,3,AmericanIPA,40-45,45-50,3.79
26306,0,AmericanBrownAle,40-45,45-50,0
77350,1,AmericanDoubleImperialIPA,45-50,50-55,4.19
68081,1,DortmunderExportLager,35-40,40-45,2.58
158402,2,AmericanPorter,40-45,45-50,4.53
62692,8,AmericanPaleLager,35-40,40-45,3.28
14564,1,IrishRedAle,35-40,40-45,3.94
160469,57,AmericanIPA,40-45,45-50,4.13
104698,1,AmericanPorter,40-45,45-50,3.79
26153,1,EnglishBarleywine,45-50,50-55,4.04
47306,0,Dubbel,45-50,45-50,0
42089,1,Tripel,45-50,45-50,4
124528,9,AmericanPaleAle(APA),35-40,40-45,3.78
168260,1,IrishRedAle,35-40,40-45,2.99
86528,2,AmericanIPA,40-45,45-50,3.93
103199,1,EnglishPorter,,50-55,3.68
145001,2,AmericanIPA,40-45,45-50,4.66
101164,1,AmericanIPA,40-45,45-50,4.03
106517,5,ViennaLager,35-40,40-45,3.55
59717,1,GermanPilsener,35-40,40-45,3.54
133389,1,AmericanIPA,40-45,45-50,3.75
52853,5,SaisonFarmhouseAle,45-50,45-50,3.69
91096,1,AmericanAdjunctLager,35-40,35-40,4.16
107743,0,AmericanAmberRedAle,40-45,45-50,0
94858,32,Weizenbock,40-45,45-50,3.69
41570,139,AmericanAmberRedAle,40-45,45-50,3.26
93193,13,AmericanDoubleImperialIPA,45-50,50-55,4.44
117102,1,AmericanIPA,40-45,45-50,3.67
147763,23,AmericanBlackAle,35-40,40-45,3.76
105408,14,AmericanPaleAle(APA),35-40,40-45,3.79
128508,1,SaisonFarmhouseAle,45-50,45-50,3.82
57730,1,AmericanIPA,40-45,45-50,3
37780,3,GermanPilsener,35-40,40-45,3.43
13304,3,Schwarzbier,40-45,45-50,4.01
89504,80,AmericanPorter,40-45,45-50,3.8
39389,4,IrishDryStout,40-45,45-50,4.35
81332,257,EnglishPorter,,50-55,3.25
17513,1,SaisonFarmhouseAle,45-50,45-50,3.85
18475,0,Witbier,40-45,45-50,0
32320,4,Lambic-Fruit,45-50,45-50,3.15
120339,1,AmericanPaleAle(APA),35-40,40-45,3.95
83968,1,AmericanBlackAle,35-40,40-45,3.82
20537,1,AmericanBlondeAle,35-40,40-45,3.52
2774,1,SaisonFarmhouseAle,45-50,45-50,3.92
136385,1,EnglishBitter,,45-50,4.07
103368,19,Witbier,40-45,45-50,3.51
153848,1,AmericanIPA,40-45,45-50,4.02
143643,0,FlandersRedAle,45-50,45-50,0
144003,4,AmericanPorter,40-45,45-50,3.58
142683,27,CzechPilsener,35-40,40-45,3.27
116503,1,AmericanPorter,40-45,45-50,3.5
117795,7,AmericanPorter,40-45,45-50,3.9
15518,1,BelgianPaleAle,40-45,45-50,3
85806,1,AmericanBarleywine,45-50,50-55,4.05
111865,17,AmericanDoubleImperialIPA,45-50,50-55,4.24
141400,0,EuroPaleLager,35-40,40-45,0
96072,2,AmericanStout,40-45,45-50,3.62
102384,14,Gose,40-45,45-50,4.16
86519,6,EuroStrongLager,35-40,40-45,2.48
71586,1,AmericanPaleAle(APA),35-40,40-45,4.4
16810,1,AmericanIPA,40-45,45-50,3.83
125264,1,CreamAle,35-40,40-45,3.73
15311,1,Tripel,45-50,45-50,3.6
92944,9,AmericanWildAle,40-45,45-50,3.79
91063,29,GermanPilsener,35-40,40-45,3.41
4483,718,MunichHellesLager,35-40,40-45,3.95
107182,44,EnglishBarleywine,45-50,50-55,3.6
90621,20,AmericanStout,40-45,45-50,3.94
120566,5,AmericanAmberRedLager,35-40,40-45,3.55
97992,10,Gose,40-45,45-50,3.35
101888,1,AmericanPaleAle(APA),35-40,40-45,3.85
63154,55,AmericanPorter,40-45,45-50,3.87
98977,11,MunichDunkelLager,40-45,45-50,3.78
107907,15,AmericanDoubleImperialStout,45-50,50-55,4.27
111835,5,AmericanPaleAle(APA),35-40,40-45,3.54
104282,14,AmericanAmberRedAle,40-45,45-50,3.58
107720,1,AmericanIPA,40-45,45-50,3.57
12442,1,EnglishBarleywine,45-50,50-55,3.94
51670,1,GermanPilsener,35-40,40-45,3.54
127133,1,RyeBeer,40-45,45-50,3.31
143114,93,FruitVegetableBeer,35-40,40-45,3.27
161376,2,ScotchAleWeeHeavy,40-45,45-50,3.86
50679,0,DortmunderExportLager,35-40,40-45,0
136384,0,AmericanIPA,40-45,45-50,0
60277,2,HerbedSpicedBeer,,45-50,4.26
129390,99,SmokedBeer,,50-55,3.65
1385,1,AmericanBlondeAle,35-40,40-45,4.42
65024,1,AmericanDoubleImperialStout,45-50,50-55,3.58
123692,0,AmericanStrongAle,45-50,50-55,0
106921,1,AmericanDoubleImperialIPA,45-50,50-55,4.62
33048,0,AmericanStout,40-45,45-50,0
19315,2,AmericanPorter,40-45,45-50,3.81
165606,3,SaisonFarmhouseAle,45-50,45-50,3.72
127294,2,AmericanIPA,40-45,45-50,3.9
21775,16,FruitVegetableBeer,35-40,40-45,3.58
131543,0,AmericanAmberRedAle,40-45,45-50,0
61453,0,AmericanPaleAle(APA),35-40,40-45,0
128181,3,SaisonFarmhouseAle,45-50,45-50,3.76
59299,59,AmericanDoubleImperialStout,45-50,50-55,4.27
157627,1,AmericanIPA,40-45,45-50,2.83
119234,"3,370",FruitVegetableBeer,35-40,40-45,3.28
112012,38,CzechPilsener,35-40,40-45,3.61
150859,0,AmericanDoubleImperialStout,45-50,50-55,0
131749,1,AmericanPorter,40-45,45-50,3.87
112820,2,GermanPilsener,35-40,40-45,3.91
35591,57,Hefeweizen,40-45,45-50,3.59
131412,1,ScotchAleWeeHeavy,40-45,45-50,3.68
132020,172,BelgianPaleAle,40-45,45-50,3.69
123153,1,AmericanBlondeAle,35-40,40-45,2.71
128272,4,SaisonFarmhouseAle,45-50,45-50,3.67
36168,5,AmericanPorter,40-45,45-50,3.92
69471,2,KellerbierZwickelbier,35-40,40-45,3.94
86518,3,CaliforniaCommonSteamBeer,35-40,40-45,2.44
134781,1,AmericanPaleAle(APA),35-40,40-45,4.39
87425,3,AmericanIPA,40-45,45-50,4
85039,2,BelgianPaleAle,40-45,45-50,3.3
126006,1,EnglishPaleAle,40-45,45-50,4.15
43971,4,AmericanBlackAle,35-40,40-45,3.76
76251,0,AmericanBrownAle,40-45,45-50,0
16873,8,BelgianIPA,35-40,40-45,3.75
59678,0,Altbier,40-45,45-50,0
81281,2,Gose,40-45,45-50,3.47
100284,8,AmericanIPA,40-45,45-50,3.92
78469,5,BelgianIPA,35-40,40-45,4.23
20061,37,Gose,40-45,45-50,3.67
149176,46,Dubbel,45-50,45-50,3.92
49855,279,AmericanPorter,40-45,45-50,3.77
85264,2,AmericanStout,40-45,45-50,3.47
53600,4,Bock,40-45,45-50,3.04
50920,6,LowAlcoholBeer,35-40,40-45,1.95
92668,1,AmericanIPA,40-45,45-50,4.09
1290,11,AmericanIPA,40-45,45-50,3.74
16710,6,AmericanIPA,40-45,45-50,3.81
134111,1,AmericanIPA,40-45,45-50,3.75
136871,0,Rauchbier,40-45,50-55,0
29030,1,AmericanPaleAle(APA),35-40,40-45,3.94
120880,6,FruitVegetableBeer,35-40,40-45,3.87
61472,1,SaisonFarmhouseAle,45-50,45-50,4
56654,2,FruitVegetableBeer,35-40,40-45,4.1
3860,1,FlandersOudBruin,45-50,45-50,4.25
127075,1,RyeBeer,40-45,45-50,4.02
46792,0,Tripel,45-50,45-50,0
86709,1,Tripel,45-50,45-50,3.79
22038,1,BalticPorter,45-50,50-55,4
19923,0,AmericanPorter,40-45,45-50,0
157253,11,Hefeweizen,40-45,45-50,3.77
70952,2,SaisonFarmhouseAle,45-50,45-50,3.75
166043,7,AmericanPaleAle(APA),35-40,40-45,3.94
109718,1,AmericanPorter,40-45,45-50,2
116528,0,AmericanPorter,40-45,45-50,0
6764,1,AmericanAmberRedAle,40-45,45-50,3.5
117674,7,AmericanIPA,40-45,45-50,3.98
11743,1,MaibockHellesBock,40-45,45-50,3.63
156683,5,AmericanStout,40-45,45-50,3.83
58484,1,AmericanIPA,40-45,45-50,3.83
25909,8,BerlinerWeissbier,40-45,45-50,4.05
76780,0,AmericanIPA,40-45,45-50,0
70650,5,AmericanAmberRedAle,40-45,45-50,3.79
89353,5,AmericanBlondeAle,35-40,40-45,4.38
67352,1,Hefeweizen,40-45,45-50,3.5
56146,0,AmericanDoubleImperialIPA,45-50,50-55,0
58768,1,AmericanIPA,40-45,45-50,4
74425,2,AmericanIPA,40-45,45-50,4.08
148944,3,AmericanIPA,40-45,45-50,4.8
108792,10,AmericanAmberRedLager,35-40,40-45,3.18
167742,14,BlackTan,40-45,45-50,2.88
130242,14,AmericanIPA,40-45,45-50,4
100254,1,MrzenOktoberfest,40-45,45-50,3.75
82752,1,AmericanAmberRedAle,40-45,45-50,3.39
154640,0,Tripel,45-50,45-50,0
97302,1,DortmunderExportLager,35-40,40-45,3.73
159187,1,EnglishPaleMildAle,40-45,45-50,3.51
149180,51,AmericanWildAle,40-45,45-50,4.43
29720,2,AmericanPorter,40-45,45-50,3.7
21237,2,AmericanIPA,40-45,45-50,3.5
131519,17,AmericanDoubleImperialIPA,45-50,50-55,3.93
122002,3,AmericanIPA,40-45,45-50,3.3
117040,218,AmericanDoubleImperialIPA,45-50,50-55,4.47
115999,4,CzechPilsener,35-40,40-45,3.49
27233,1,AmericanPorter,40-45,45-50,4.03
53300,4,EuroDarkLager,,45-50,3.78
87625,33,SaisonFarmhouseAle,45-50,45-50,3.9
55674,0,BerlinerWeissbier,40-45,45-50,0
131890,0,AmericanWildAle,40-45,45-50,0
47336,5,AmericanWildAle,40-45,45-50,4.34
94024,0,ViennaLager,35-40,40-45,0
158328,1,AmericanPorter,40-45,45-50,4.55
77908,1,AmericanPorter,40-45,45-50,3.85
115434,2,AmericanIPA,40-45,45-50,4.13
106757,83,AmericanPorter,40-45,45-50,3.91
21516,8,AmericanPorter,40-45,45-50,3.48
140893,93,Lambic-Fruit,45-50,45-50,3.35
125825,2,EnglishIndiaPaleAle(IPA),35-40,40-45,3.35
5291,2,PumpkinAle,40-45,45-50,4.15
161234,1,SaisonFarmhouseAle,45-50,45-50,3.77
35518,4,AmericanPorter,40-45,45-50,3.77
142817,3,AmericanStout,40-45,45-50,3.53
13540,5,AmericanIPA,40-45,45-50,3.89
21851,2,MaibockHellesBock,40-45,45-50,4.06
79028,3,Sahti,35-40,45-50,3.5
70675,3,AmericanDoubleImperialIPA,45-50,50-55,3.22
55192,2,BerlinerWeissbier,40-45,45-50,3.09
15415,1,SaisonFarmhouseAle,45-50,45-50,2.47
152432,2,Tripel,45-50,45-50,3.74
124093,33,AmericanIPA,40-45,45-50,4.18
63210,109,AmericanIPA,40-45,45-50,3.8
81370,0,CaliforniaCommonSteamBeer,35-40,40-45,0
6556,39,AmericanIPA,40-45,45-50,3.88
63942,5,SmokedBeer,,50-55,3.76
6094,2,Altbier,40-45,45-50,3.61
132325,9,AmericanAmberRedAle,40-45,45-50,3.34
63876,47,IrishRedAle,35-40,40-45,3.33
97223,1,AmericanStout,40-45,45-50,3.75
57383,1,AmericanIPA,40-45,45-50,3.84
63837,14,SaisonFarmhouseAle,45-50,45-50,3.71
83986,4,AmericanIPA,40-45,45-50,3.77
84590,0,Witbier,40-45,45-50,0
2232,41,MaibockHellesBock,40-45,45-50,3.66
167571,0,EuroDarkLager,,45-50,0
131096,5,Schwarzbier,40-45,45-50,4.04
31625,0,AmericanPorter,40-45,45-50,0
163633,1,AmericanAmberRedAle,40-45,45-50,3.77
14121,9,AmericanPaleLager,35-40,40-45,3.42
59511,2,AmericanPorter,40-45,45-50,4.21
68053,0,Gose,40-45,45-50,0
110651,4,AmericanPaleAle(APA),35-40,40-45,4.19
146100,6,AmericanIPA,40-45,45-50,4.08
27169,6,AmericanDoubleImperialStout,45-50,50-55,4.07
16774,5,EnglishBitter,,45-50,3.63
142330,1,FruitVegetableBeer,35-40,40-45,4.02
138596,2,AmericanIPA,40-45,45-50,3.38
45987,6,AmericanPorter,40-45,45-50,3.65
168484,0,AmericanPorter,40-45,45-50,0
49210,1,MaibockHellesBock,40-45,45-50,3.25
134675,3,SaisonFarmhouseAle,45-50,45-50,4.02
25460,1,AmericanBrownAle,40-45,45-50,3.33
33511,10,SmokedBeer,,50-55,3.84
88078,1,AmericanPorter,40-45,45-50,3.75
15677,10,Witbier,40-45,45-50,3.71
131292,0,AmericanIPA,40-45,45-50,0
29935,86,AmericanAmberRedAle,40-45,45-50,3.58
114488,1,SaisonFarmhouseAle,45-50,45-50,3.95
57996,1,AmericanDoubleImperialStout,45-50,50-55,4.44
114576,1,AmericanIPA,40-45,45-50,4.19
31484,2,SmokedBeer,,50-55,3.05
62438,2,AmericanIPA,40-45,45-50,4.36
164965,1,Witbier,40-45,45-50,3.71
153406,0,Tripel,45-50,45-50,0
8405,1,Gose,40-45,45-50,4.5
76884,2,ScottishAle,40-45,45-50,3.52
11866,50,BalticPorter,45-50,50-55,4.12
27939,3,EnglishBrownAle,40-45,45-50,3.67
116698,3,KellerbierZwickelbier,35-40,40-45,3.77
141492,9,MunichDunkelLager,40-45,45-50,3.7
58853,12,AmericanIPA,40-45,45-50,3.78
75830,4,AmericanIPA,40-45,45-50,4.13
111211,2,AmericanPorter,40-45,45-50,3.84
137612,5,AmericanDoubleImperialStout,45-50,50-55,4.05
64752,54,Tripel,45-50,45-50,3.79
1652,13,ScotchAleWeeHeavy,40-45,45-50,3.89
78241,4,AmericanIPA,40-45,45-50,3.9
156146,2,FruitVegetableBeer,35-40,40-45,3.33
144329,2,BerlinerWeissbier,40-45,45-50,4.01
45587,1,AmericanDoubleImperialIPA,45-50,50-55,3.48
7050,5,Klsch,35-40,40-45,4.1
63290,2,AmericanIPA,40-45,45-50,4.12
164777,55,BalticPorter,45-50,50-55,3.93
110911,31,Quadrupel(Quad),45-50,50-55,4.49
118823,657,PumpkinAle,40-45,45-50,3.81
164427,6,MrzenOktoberfest,40-45,45-50,3.22
40285,2,AmericanIPA,40-45,45-50,4.31
10496,2,AmericanIPA,40-45,45-50,3.5
53290,2,Kvass,,,4.43
110346,1,AmericanPorter,40-45,45-50,3.75
119323,4,AmericanPorter,40-45,45-50,3.85
136750,6,MunichHellesLager,35-40,40-45,3.78
75685,1,AmericanDoubleImperialStout,45-50,50-55,2.95
31914,0,BelgianIPA,35-40,40-45,0
151205,1,AmericanIPA,40-45,45-50,4.02
84650,2,AmericanIPA,40-45,45-50,3.48
147831,2,AmericanIPA,40-45,45-50,4.12
67447,0,EnglishBitter,,45-50,0
132600,3,PumpkinAle,40-45,45-50,3.88
102438,0,EuroPaleLager,35-40,40-45,0
46868,21,AmericanPaleAle(APA),35-40,40-45,3.75
11208,0,EnglishBrownAle,40-45,45-50,0
6040,2,BelgianPaleAle,40-45,45-50,3.96
26303,0,AmericanBrownAle,40-45,45-50,0
50281,2,EnglishDarkMildAle,40-45,45-50,3.87
64112,4,EnglishIndiaPaleAle(IPA),35-40,40-45,3.25
6123,3,MunichHellesLager,35-40,40-45,3.59
112576,1,AmericanPorter,40-45,45-50,4.21
161660,5,Dunkelweizen,40-45,45-50,3.37
93062,73,ScotchAleWeeHeavy,40-45,45-50,3.54
152136,1,ScottishAle,40-45,45-50,3.68
65301,1,AmericanIPA,40-45,45-50,4.49
39261,1,AmericanWildAle,40-45,45-50,4.07
164298,3,AmericanIPA,40-45,45-50,3.9
29949,7,EuroPaleLager,35-40,40-45,2.19
154140,22,AmericanBlondeAle,35-40,40-45,4.05
109284,2,MaibockHellesBock,40-45,45-50,3.76
142629,0,EnglishBrownAle,40-45,45-50,0
94474,1,MrzenOktoberfest,40-45,45-50,4.07
158102,1,AmericanDoubleImperialIPA,45-50,50-55,3.95
40189,31,AmericanDoubleImperialIPA,45-50,50-55,4.32
26819,4,AmericanIPA,40-45,45-50,3.48
139329,3,Hefeweizen,40-45,45-50,3.11
75082,3,GermanPilsener,35-40,40-45,3.74
143028,2,SaisonFarmhouseAle,45-50,45-50,3.82
57073,1,AmericanPaleAle(APA),35-40,40-45,4
20834,12,AmericanBlondeAle,35-40,40-45,3.78
66550,0,AmericanPorter,40-45,45-50,0
70221,1,AmericanPorter,40-45,45-50,2.82
156552,0,AmericanBlondeAle,35-40,40-45,0
48975,1,Eisbock,40-45,50-55,4.09
116086,3,FruitVegetableBeer,35-40,40-45,4.24
46107,7,AmericanIPA,40-45,45-50,4.1
25488,47,AmericanDoubleImperialIPA,45-50,50-55,4.18
2245,1,AmericanIPA,40-45,45-50,3.78
117935,4,GermanPilsener,35-40,40-45,3.9
109825,10,AmericanAdjunctLager,35-40,35-40,2.57
131501,38,AmericanStout,40-45,45-50,3.76
150721,1,AmericanIPA,40-45,45-50,4
73719,5,AmericanDoubleImperialIPA,45-50,50-55,4.01
105875,7,SaisonFarmhouseAle,45-50,45-50,3.84
103384,1,AmericanStout,40-45,45-50,4
14520,0,BelgianPaleAle,40-45,45-50,0
68463,2,Tripel,45-50,45-50,3.87
158941,3,AmericanPorter,40-45,45-50,3.21
146121,9,AmericanDoubleImperialIPA,45-50,50-55,4.15
133469,"1,181",MrzenOktoberfest,40-45,45-50,3.36
11839,3,AmericanBlondeAle,35-40,40-45,3.81
